item_name,item_code,kind_name,kind_code,rank,rank_code,unit,day1,dpr1,day2,dpr2,day3,dpr3,day4,dpr4,day5,dpr5,day6,dpr6,day7,dpr7,date
쌀,111,20kg(1kg),01,상품,04,20kg,당일 (01/01),-,1일전 (12/31),"3,000",1주일전 (12/25),-,2주일전 (12/18),"3,023",1개월전,"60,419",1년전,"51,732",일평년,"45,889",2021-01-01
고구마,151,밤(1kg),00,상품,04,1kg,당일 (01/01),-,1일전 (12/31),"6,072",1주일전 (12/25),-,2주일전 (12/18),"5,822",1개월전,"5,727",1년전,"4,183",일평년,"4,435",2021-01-01
고구마,151,밤(1kg),00,중품,05,1kg,당일 (01/01),-,1일전 (12/31),"4,612",1주일전 (12/25),-,2주일전 (12/18),"4,630",1개월전,"4,546",1년전,"3,555",일평년,"3,549",2021-01-01
감자,152,수미(노지)(1kg),01,상품,04,100g,당일 (01/01),-,1일전 (12/31),"3,028",1주일전 (12/25),-,2주일전 (12/18),"2,919",1개월전,301,1년전,265,일평년,306,2021-01-01
감자,152,수미(노지)(1kg),01,중품,05,100g,당일 (01/01),-,1일전 (12/31),"2,147",1주일전 (12/25),-,2주일전 (12/18),"2,189",1개월전,219,1년전,207,일평년,227,2021-01-01
쌀,111,20kg(1kg),01,상품,04,20kg,당일 (01/04),"2,993",1일전 (01/03),-,1주일전 (12/28),"3,030",2주일전 (12/21),"3,024",1개월전,"60,419",1년전,"51,732",일평년,"45,889",2021-01-04
고구마,151,밤(1kg),00,상품,04,1kg,당일 (01/04),"5,958",1일전 (01/03),-,1주일전 (12/28),"5,838",2주일전 (12/21),"5,822",1개월전,"5,727",1년전,"4,183",일평년,"4,435",2021-01-04
고구마,151,밤(1kg),00,중품,05,1kg,당일 (01/04),"4,557",1일전 (01/03),-,1주일전 (12/28),"4,612",2주일전 (12/21),"4,630",1개월전,"4,546",1년전,"3,555",일평년,"3,549",2021-01-04
감자,152,수미(노지)(1kg),01,상품,04,100g,당일 (01/04),"3,035",1일전 (01/03),-,1주일전 (12/28),"2,938",2주일전 (12/21),"2,931",1개월전,301,1년전,265,일평년,306,2021-01-04
감자,152,수미(노지)(1kg),01,중품,05,100g,당일 (01/04),"2,156",1일전 (01/03),-,1주일전 (12/28),"2,178",2주일전 (12/21),"2,222",1개월전,219,1년전,207,일평년,227,2021-01-04
쌀,111,20kg(1kg),01,상품,04,20kg,당일 (01/05),"2,994",1일전 (01/04),"2,993",1주일전 (12/29),"3,029",2주일전 (12/22),"3,024",1개월전,"60,419",1년전,"51,732",일평년,"45,889",2021-01-05
고구마,151,밤(1kg),00,상품,04,1kg,당일 (01/05),"5,958",1일전 (01/04),"5,958",1주일전 (12/29),"5,838",2주일전 (12/22),"5,831",1개월전,"5,727",1년전,"4,183",일평년,"4,435",2021-01-05
고구마,151,밤(1kg),00,중품,05,1kg,당일 (01/05),"4,557",1일전 (01/04),"4,557",1주일전 (12/29),"4,612",2주일전 (12/22),"4,612",1개월전,"4,546",1년전,"3,555",일평년,"3,549",2021-01-05
감자,152,수미(노지)(1kg),01,상품,04,100g,당일 (01/05),"2,916",1일전 (01/04),"3,035",1주일전 (12/29),"3,013",2주일전 (12/22),"2,916",1개월전,301,1년전,265,일평년,306,2021-01-05
감자,152,수미(노지)(1kg),01,중품,05,100g,당일 (01/05),"2,156",1일전 (01/04),"2,156",1주일전 (12/29),"2,178",2주일전 (12/22),"2,222",1개월전,219,1년전,207,일평년,227,2021-01-05
쌀,111,20kg(1kg),01,상품,04,20kg,당일 (01/06),"2,993",1일전 (01/05),"2,994",1주일전 (12/30),"3,029",2주일전 (12/23),"3,030",1개월전,"60,419",1년전,"51,732",일평년,"45,889",2021-01-06
고구마,151,밤(1kg),00,상품,04,1kg,당일 (01/06),"5,931",1일전 (01/05),"5,958",1주일전 (12/30),"5,883",2주일전 (12/23),"5,852",1개월전,"5,727",1년전,"4,183",일평년,"4,435",2021-01-06
고구마,151,밤(1kg),00,중품,05,1kg,당일 (01/06),"4,557",1일전 (01/05),"4,557",1주일전 (12/30),"4,612",2주일전 (12/23),"4,612",1개월전,"4,546",1년전,"3,555",일평년,"3,549",2021-01-06
감자,152,수미(노지)(1kg),01,상품,04,100g,당일 (01/06),"3,141",1일전 (01/05),"2,916",1주일전 (12/30),"3,028",2주일전 (12/23),"2,916",1개월전,301,1년전,265,일평년,306,2021-01-06
감자,152,수미(노지)(1kg),01,중품,05,100g,당일 (01/06),"2,353",1일전 (01/05),"2,156",1주일전 (12/30),"2,178",2주일전 (12/23),"2,178",1개월전,219,1년전,207,일평년,227,2021-01-06
쌀,111,20kg(1kg),01,상품,04,20kg,당일 (01/07),"2,985",1일전 (01/06),"2,993",1주일전 (12/31),"3,000",2주일전 (12/24),"3,030",1개월전,"60,419",1년전,"51,732",일평년,"45,889",2021-01-07
고구마,151,밤(1kg),00,상품,04,1kg,당일 (01/07),"5,979",1일전 (01/06),"5,931",1주일전 (12/31),"6,072",2주일전 (12/24),"5,804",1개월전,"5,727",1년전,"4,183",일평년,"4,435",2021-01-07
고구마,151,밤(1kg),00,중품,05,1kg,당일 (01/07),"4,562",1일전 (01/06),"4,557",1주일전 (12/31),"4,612",2주일전 (12/24),"4,612",1개월전,"4,546",1년전,"3,555",일평년,"3,549",2021-01-07
