date,stn_id,avg_temp,min_temp,max_temp,precipitation,sunshine,humidity,city
2012-01-01,108,-3.0,-6.9,0.4,0.0,4.4,64.5,서울
2012-01-02,108,-4.8,-8.3,-1.2,,5.9,66.5,서울
2012-01-03,108,-4.5,-6.8,-0.2,0.4,2.7,68.3,서울
2012-01-04,108,-7.4,-9.6,-4.3,0.0,8.1,55.4,서울
2012-01-05,108,-5.7,-9.8,-1.3,,9.0,49.8,서울
2012-01-06,108,-2.8,-5.6,1.3,,8.4,42.9,서울
2012-01-07,108,-3.8,-8.0,2.0,,8.5,46.5,서울
2012-01-08,108,-2.5,-5.5,0.4,,2.8,54.3,서울
2012-01-09,108,-0.3,-1.8,2.7,0.0,2.4,66.1,서울
2012-01-10,108,-2.5,-5.8,1.5,,6.6,53.9,서울
2012-01-11,108,-6.0,-8.1,-3.3,,9.0,42.3,서울
2012-01-12,108,-4.6,-10.3,-0.4,0.0,6.3,56.5,서울
2012-01-13,108,-1.2,-4.1,2.6,,6.7,52.8,서울
2012-01-14,108,-1.5,-6.3,2.7,,8.7,51.6,서울
2012-01-15,108,-2.6,-4.7,0.3,,6.3,44.5,서울
2012-01-16,108,1.0,-5.1,7.8,,9.1,44.6,서울
2012-01-17,108,2.8,0.0,8.2,,5.2,48.5,서울
2012-01-18,108,1.4,-2.2,5.4,,4.6,39.8,서울
2012-01-19,108,5.3,1.4,8.4,0.2,0.3,54.4,서울
2012-01-20,108,5.4,3.7,8.3,0.5,0.9,61.0,서울
2012-01-21,108,2.4,-2.6,5.7,0.1,0.0,60.3,서울
2012-01-22,108,-7.7,-11.6,-2.4,,9.0,37.9,서울
2012-01-23,108,-9.6,-12.2,-5.3,,9.3,33.3,서울
2012-01-24,108,-7.3,-11.8,-3.1,1.6,9.2,39.9,서울
2012-01-25,108,-8.2,-11.6,-5.0,,9.5,41.3,서울
2012-01-26,108,-2.9,-8.5,1.8,0.0,7.5,54.5,서울
2012-01-27,108,-0.9,-4.4,4.9,0.0,2.9,64.6,서울
2012-01-28,108,-1.8,-6.0,3.1,,7.1,24.4,서울
2012-01-29,108,-2.8,-5.5,1.6,,8.7,23.4,서울
2012-01-30,108,-5.6,-8.8,-0.8,,9.5,22.4,서울
2012-01-31,108,-4.7,-8.5,-0.3,3.9,1.9,48.4,서울
2012-02-01,108,-12.8,-15.3,-8.1,,9.5,47.9,서울
2012-02-02,108,-13.7,-17.1,-9.5,,9.6,44.4,서울
2012-02-03,108,-8.6,-14.5,-3.9,0.1,9.4,54.3,서울
2012-02-04,108,-3.0,-5.2,1.0,0.2,9.5,48.5,서울
2012-02-05,108,-0.9,-4.5,4.8,,6.4,36.1,서울
2012-02-06,108,0.9,-3.2,7.0,0.2,4.3,50.6,서울
2012-02-07,108,-8.7,-11.5,-0.1,0.0,9.6,42.3,서울
2012-02-08,108,-8.0,-12.1,-3.8,,9.6,39.1,서울
2012-02-09,108,-4.5,-9.0,-0.5,,9.2,48.9,서울
2012-02-10,108,-3.5,-6.9,1.7,0.0,7.8,46.4,서울
2012-02-11,108,-3.8,-9.2,0.8,,9.7,42.5,서울
2012-02-12,108,-0.1,-5.0,4.8,,8.9,34.4,서울
2012-02-13,108,3.1,0.2,8.4,,5.2,26.3,서울
2012-02-14,108,3.0,-0.3,8.3,,7.5,48.9,서울
2012-02-15,108,-1.3,-4.1,3.0,,8.2,31.5,서울
2012-02-16,108,-2.8,-6.1,2.7,,9.6,32.4,서울
2012-02-17,108,-6.4,-8.8,-2.9,,8.3,35.1,서울
2012-02-18,108,-6.8,-9.6,-2.2,,9.8,38.9,서울
2012-02-19,108,-4.4,-9.6,1.3,,10.1,39.6,서울
2012-02-20,108,-0.2,-5.5,5.3,,9.6,56.8,서울
2012-02-21,108,2.3,-0.9,5.5,,0.5,59.1,서울
2012-02-22,108,5.8,-0.8,12.1,,8.7,46.6,서울
2012-02-23,108,4.4,1.1,8.2,0.3,5.8,64.4,서울
2012-02-24,108,4.3,0.2,9.7,,4.7,61.3,서울
2012-02-25,108,1.2,-2.3,5.0,,3.6,57.4,서울
2012-02-26,108,-1.6,-4.0,3.2,,6.6,33.5,서울
2012-02-27,108,-0.7,-5.9,5.2,,10.5,31.3,서울
2012-02-28,108,2.1,-3.2,7.3,,3.5,26.6,서울
2012-02-29,108,5.4,-1.5,11.8,,9.2,27.1,서울
2012-03-01,108,8.7,4.0,14.6,,7.7,20.1,서울
2012-03-02,108,6.9,5.2,9.5,0.3,2.1,54.6,서울
2012-03-03,108,6.9,2.7,12.9,,8.9,47.1,서울
2012-03-04,108,6.2,3.0,9.7,0.0,1.4,49.9,서울
2012-03-05,108,5.3,3.1,8.5,7.0,0.0,66.9,서울
2012-03-06,108,3.0,1.8,4.6,8.5,0.0,81.6,서울
2012-03-07,108,3.0,-0.2,7.7,,7.2,60.1,서울
2012-03-08,108,2.0,-0.3,5.2,,4.0,47.8,서울
2012-03-09,108,3.4,-2.1,9.1,,5.3,48.9,서울
2012-03-10,108,3.9,1.3,8.9,,7.0,52.5,서울
2012-03-11,108,-2.4,-4.6,1.3,0.0,11.1,43.0,서울
2012-03-12,108,-1.6,-5.7,3.2,,11.2,40.1,서울
2012-03-13,108,1.7,-3.5,6.6,,9.2,49.8,서울
2012-03-14,108,3.6,1.8,5.9,0.0,0.3,70.4,서울
2012-03-15,108,5.5,-1.7,11.8,,10.4,35.8,서울
2012-03-16,108,8.1,5.7,12.9,4.0,0.0,51.1,서울
2012-03-17,108,10.4,6.8,16.1,2.0,5.5,71.4,서울
2012-03-18,108,6.9,2.2,11.5,,8.2,62.8,서울
2012-03-19,108,2.8,-0.5,7.2,,9.8,38.0,서울
2012-03-20,108,3.1,-1.9,8.3,,11.3,30.6,서울
2012-03-21,108,4.3,-0.5,10.4,,11.0,36.3,서울
2012-03-22,108,7.8,3.3,11.4,0.0,2.0,53.6,서울
2012-03-23,108,5.0,2.3,9.7,22.0,0.0,82.5,서울
2012-03-24,108,3.3,1.5,6.9,3.5,7.5,54.5,서울
2012-03-25,108,3.6,0.9,7.7,,10.9,36.6,서울
2012-03-26,108,3.9,-0.2,8.7,,11.6,38.3,서울
2012-03-27,108,6.4,1.0,10.9,,4.9,57.6,서울
2012-03-28,108,10.1,6.4,15.8,,8.2,56.4,서울
2012-03-29,108,11.6,5.9,16.2,0.0,4.9,57.0,서울
2012-03-30,108,9.0,5.8,11.9,0.1,0.0,73.5,서울
2012-03-31,108,5.4,2.5,10.1,0.0,10.2,38.4,서울
2012-04-01,108,4.6,0.6,9.4,,10.9,28.1,서울
2012-04-02,108,8.3,3.5,14.1,22.0,0.2,56.9,서울
2012-04-03,108,4.9,1.1,9.4,35.0,2.9,66.9,서울
2012-04-04,108,7.2,2.2,12.8,,10.5,57.3,서울
2012-04-05,108,6.7,3.1,12.2,,11.7,43.4,서울
2012-04-06,108,5.4,2.6,9.6,,7.8,41.5,서울
2012-04-07,108,5.9,0.6,12.4,,12.0,35.5,서울
2012-04-08,108,11.3,4.6,17.6,,9.6,47.3,서울
